,ID,ger_descr,eng_desc,amount
0,7,Platzhalter,Placeholder,"102.714,00"
1,/23B,Platzhalter,Placeholder,"505,00"
2,/524,Platzhalter,Placeholder,"871,80"
3,3B,Platzhalter,Placeholder,"-103,34"
4,1AB9,Platzhalter,Placeholder,"1.234,83"
5,/XYZ,Platzhalter,Placeholder,"-113,04"
6,D320,Platzhalter,Placeholder,"527,27"
7,0130,Platzhalter,Placeholder,"994,33"
8,8417,Platzhalter,Placeholder,"411,50"
9,X017,Platzhalter,Placeholder,"-602,50"
10,C311,Platzhalter,Placeholder,"41.384,00"
11,,Platzhalter,Placeholder,"3.260,20"
12,,Platzhalter,Placeholder,"1.127,40"
13,A027,Platzhalter,Placeholder,"40.116,93"
14,C039,Platzhalter,Placeholder,"4.331,35"
15,B987,Platzhalter,Placeholder,"3.025,95"
